,medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,athlete_link,country_code,discipline_code,event,country,discipline
1886,Bronze Medal,3,2021-08-07 00:00:00.0,REYES D,REYES Denyi,M,../../../en/results/baseball-softball/athlete-profile-n1444287-reyes-denyi.htm,DOM,BSB,Baseball,Dominican Republic,
1887,Bronze Medal,3,2021-08-07 00:00:00.0,BAUTISTA J,BAUTISTA Jose,M,../../../en/results/baseball-softball/athlete-profile-n1444375-bautista-jose.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
1888,Bronze Medal,3,2021-08-07 00:00:00.0,BONIFACIO E,BONIFACIO Emilio,,../../../en/results/baseball-softball/athlete-profile-n1444376-bonifacio-emilio.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
1889,Bronze Medal,3,2021-08-07 00:00:00.0,,DIAZ Jose,,../../../en/results/baseball-softball/athlete-profile-n1444389-diaz-jose.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
1890,Bronze Medal,3,2021-08-07 00:00:00.0,FRANCISCO J,FRANCISCO Juan,M,../../../en/results/baseball-softball/athlete-profile-n1444395-francisco-juan.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
1891,Gold Medal,1,2021-08-07 00:00:00.0,MCGEE J,MCGEE Javale,,../../../en/results/basketball/athlete-profile-n1312792-mcgee-javale.htm,USA,BKB,Men,United States of America,Basketball
1892,Gold Medal,1,2021-08-07 00:00:00.0,MIDDLETON K,MIDDLETON Khris,,../../../en/results/basketball/athlete-profile-n1312793-middleton-khris.htm,USA,BKB,Men,United States of America,Basketball
1893,Gold Medal,1,2021-08-07 00:00:00.0,TATUM J,TATUM Jayson,M,../../../en/results/basketball/athlete-profile-n1312794-tatum-jayson.htm,USA,BKB,Men,United States of America,Basketball
1894,Gold Medal,1,2021-08-07 00:00:00.0,,DURANT Kevin,M,../../../en/results/basketball/athlete-profile-n1312797-durant-kevin.htm,USA,BKB,Men,United States of America,Basketball
1895,Gold Medal,1,2021-08-07 00:00:00.0,BOOKER D,BOOKER Devin,M,../../../en/results/basketball/athlete-profile-n1312771-booker-devin.htm,USA,BKB,Men,United States of America,
1896,Gold Medal,1,2021-08-07 00:00:00.0,GREEN D,GREEN Draymond,,../../../en/results/basketball/athlete-profile-n1312774-green-draymond.htm,USA,BKB,Men,United States of America,Basketball
1897,Gold Medal,1,2021-08-07 00:00:00.0,LILLARD D,LILLARD Damian,M,../../../en/results/basketball/athlete-profile-n1312776-lillard-damian.htm,USA,BKB,Men,United States of America,
1898,Gold Medal,1,2021-08-07 00:00:00.0,GRANT J,GRANT Jerami,M,../../../en/results/basketball/athlete-profile-n1451325-grant-jerami.htm,USA,BKB,Men,United States of America,
1899,Gold Medal,1,2021-08-07 00:00:00.0,LAVINE Z,LAVINE Zach,,../../../en/results/basketball/athlete-profile-n1451355-lavine-zach.htm,USA,BKB,Men,United States of America,Basketball
1900,Gold Medal,1,2021-08-07 00:00:00.0,HOLIDAY J,HOLIDAY Jrue,,../../../en/results/basketball/athlete-profile-n1471400-holiday-jrue.htm,USA,BKB,Men,United States of America,Basketball
1901,Gold Medal,1,2021-08-07 00:00:00.0,,JOHNSON Keldon,M,../../../en/results/basketball/athlete-profile-n1918055-johnson-keldon.htm,USA,BKB,Men,United States of America,Basketball
1902,Gold Medal,1,2021-08-07 00:00:00.0,ADEBAYO B,ADEBAYO Bam,M,../../../en/results/basketball/athlete-profile-n1312780-adebayo-bam.htm,USA,BKB,Men,United States of America,Basketball
1903,Silver Medal,2,2021-08-07 00:00:00.0,CORNELIE P,CORNELIE Petr,,../../../en/results/basketball/athlete-profile-n1891958-cornelie-petr.htm,FRA,BKB,Men,France,
1904,Silver Medal,2,2021-08-07 00:00:00.0,ALBICY A,ALBICY Andrew,,../../../en/results/basketball/athlete-profile-n1337826-albicy-andrew.htm,FRA,BKB,Men,France,
1905,Silver Medal,2,2021-08-07 00:00:00.0,HEURTEL T,HEURTEL Thomas,M,../../../en/results/basketball/athlete-profile-n1337828-heurtel-thomas.htm,FRA,BKB,Men,France,Basketball
1906,Silver Medal,2,2021-08-07 00:00:00.0,NTILIKINA F,NTILIKINA Frank,M,../../../en/results/basketball/athlete-profile-n1337831-ntilikina-frank.htm,FRA,BKB,Men,France,Basketball
1907,Silver Medal,2,2021-08-07 00:00:00.0,de COLO N,de COLO Nando,M,../../../en/results/basketball/athlete-profile-n1337834-de-colo-nando.htm,FRA,BKB,Men,France,
1908,Silver Medal,2,2021-08-07 00:00:00.0,FOURNIER E,FOURNIER Evan,M,../../../en/results/basketball/athlete-profile-n1337835-fournier-evan.htm,FRA,BKB,Men,France,Basketball
1909,Silver Medal,2,2021-08-07 00:00:00.0,BATUM N,BATUM Nicolas,,../../../en/results/basketball/athlete-profile-n1337839-batum-nicolas.htm,FRA,BKB,Men,France,Basketball
1910,Silver Medal,2,2021-08-07 00:00:00.0,LUWAWU CABARROT T,LUWAWU CABARROT Timothe,,../../../en/results/basketball/athlete-profile-n1337842-luwawu-cabarrot-timothe.htm,FRA,BKB,Men,France,Basketball
1911,Silver Medal,2,2021-08-07 00:00:00.0,YABUSELE G,YABUSELE Guerschon,M,../../../en/results/basketball/athlete-profile-n1337852-yabusele-guerschon.htm,FRA,BKB,Men,France,
1912,Silver Medal,2,2021-08-07 00:00:00.0,FALL M,FALL Moustapha,,../../../en/results/basketball/athlete-profile-n1337853-fall-moustapha.htm,FRA,BKB,Men,France,
1913,Silver Medal,2,2021-08-07 00:00:00.0,GOBERT R,GOBERT Rudy,M,../../../en/results/basketball/athlete-profile-n1337854-gobert-rudy.htm,FRA,BKB,Men,France,Basketball
1914,Silver Medal,2,2021-08-07 00:00:00.0,POIRIER V,POIRIER Vincent,,../../../en/results/basketball/athlete-profile-n1337858-poirier-vincent.htm,FRA,BKB,Men,France,Basketball
1915,Bronze Medal,3,2021-08-07 00:00:00.0,GREEN J,GREEN Josh,M,../../../en/results/basketball/athlete-profile-n1326472-green-josh.htm,AUS,BKB,Men,Australia,Basketball
1916,Bronze Medal,3,2021-08-07 00:00:00.0,BAYNES A,BAYNES Aron,M,../../../en/results/basketball/athlete-profile-n1326474-baynes-aron.htm,AUS,BKB,Men,Australia,Basketball
1917,Bronze Medal,3,2021-08-07 00:00:00.0,,DELLAVEDOVA Matthew,,../../../en/results/basketball/athlete-profile-n1326479-dellavedova-matthew.htm,AUS,BKB,Men,Australia,Basketball
1918,Bronze Medal,3,2021-08-07 00:00:00.0,EXUM D,EXUM Dante,,../../../en/results/basketball/athlete-profile-n1326481-exum-dante.htm,AUS,BKB,Men,Australia,
1919,Bronze Medal,3,2021-08-07 00:00:00.0,GOULDING C,GOULDING Chris,M,../../../en/results/basketball/athlete-profile-n1326482-goulding-chris.htm,AUS,BKB,Men,Australia,Basketball
1920,Bronze Medal,3,2021-08-07 00:00:00.0,INGLES J,INGLES Joe,M,../../../en/results/basketball/athlete-profile-n1326484-ingles-joe.htm,AUS,BKB,Men,Australia,Basketball
1921,Bronze Medal,3,2021-08-07 00:00:00.0,KAY N,KAY Nic,M,../../../en/results/basketball/athlete-profile-n1326485-kay-nic.htm,AUS,BKB,Men,Australia,Basketball
1922,Bronze Medal,3,2021-08-07 00:00:00.0,LANDALE J,LANDALE Jock,M,../../../en/results/basketball/athlete-profile-n1326486-landale-jock.htm,AUS,BKB,Men,Australia,Basketball
1923,Bronze Medal,3,2021-08-07 00:00:00.0,MILLS P,MILLS Patty,,../../../en/results/basketball/athlete-profile-n1326488-mills-patty.htm,AUS,BKB,Men,Australia,Basketball
1924,Bronze Medal,3,2021-08-07 00:00:00.0,THYBULLE M,THYBULLE Matisse,,../../../en/results/basketball/athlete-profile-n1326490-thybulle-matisse.htm,AUS,BKB,Men,Australia,
1925,Bronze Medal,3,2021-08-07 00:00:00.0,,REATH Duop Thomas,,../../../en/results/basketball/athlete-profile-n1483479-reath-duop-thomas.htm,AUS,BKB,Men,Australia,Basketball
1926,Bronze Medal,3,2021-08-07 00:00:00.0,SOBEY N,SOBEY Nathan,M,../../../en/results/basketball/athlete-profile-n1729970-sobey-nathan.htm,AUS,BKB,Men,Australia,Basketball
1927,Gold Medal,1,2021-08-07 00:00:00.0,MOL AB,MOL Anders Berntsen,M,../../../en/results/beach-volleyball/athlete-profile-n1343608-mol-anders-berntsen.htm,NOR,VBV,Men,Norway,Beach Volleyball
1928,Gold Medal,1,2021-08-07 00:00:00.0,SORUM CS,SORUM Christian Sandlie,M,../../../en/results/beach-volleyball/athlete-profile-n1343609-sorum-christian-sandlie.htm,NOR,VBV,Men,Norway,Beach Volleyball
1929,Silver Medal,2,2021-08-07 00:00:00.0,,KRASILNIKOV Viacheslav,M,../../../en/results/beach-volleyball/athlete-profile-n1428871-krasilnikov-viacheslav.htm,ROC,VBV,Men,ROC,Beach Volleyball
1930,Silver Medal,2,2021-08-07 00:00:00.0,STOYANOVSKIY O,STOYANOVSKIY Oleg,M,../../../en/results/beach-volleyball/athlete-profile-n1428872-stoyanovskiy-oleg.htm,ROC,VBV,Men,ROC,Beach Volleyball
1931,Bronze Medal,3,2021-08-07 00:00:00.0,,YOUNOUSSE Cherif,M,../../../en/results/beach-volleyball/athlete-profile-n1435321-younousse-cherif.htm,QAT,VBV,Men,Qatar,Beach Volleyball
1932,Bronze Medal,3,2021-08-07 00:00:00.0,TIJAN A,TIJAN Ahmed,,../../../en/results/beach-volleyball/athlete-profile-n1435323-tijan-ahmed.htm,QAT,VBV,Men,Qatar,Beach Volleyball
1933,Gold Medal,1,2021-08-07 00:00:00.0,YAFAI G,YAFAI Galal,,../../../en/results/boxing/athlete-profile-n1443515-yafai-galal.htm,GBR,BOX,Men's Fly (48-52kg),Great Britain,Boxing
1934,Silver Medal,2,2021-08-07 00:00:00.0,PAALAM C,PAALAM Carlo,,../../../en/results/boxing/athlete-profile-n1464302-paalam-carlo.htm,PHI,BOX,Men's Fly (48-52kg),Philippines,Boxing
1935,Gold Medal,1,2021-08-07 00:00:00.0,,SOUSA Hebert,,../../../en/results/boxing/athlete-profile-n1320482-sousa-hebert.htm,BRA,BOX,Men's Middle (69-75kg),Brazil,Boxing
1936,Silver Medal,2,2021-08-07 00:00:00.0,KHYZHNIAK O,KHYZHNIAK Oleksandr,,../../../en/results/boxing/athlete-profile-n1477669-khyzhniak-oleksandr.htm,UKR,BOX,Men's Middle (69-75kg),Ukraine,Boxing
1937,Gold Medal,1,2021-08-07 00:00:00.0,KRASTEVA SZ,KRASTEVA Stoyka Zhelyazkova,W,../../../en/results/boxing/athlete-profile-n1328469-krasteva-stoyka-zhelyazkova.htm,BUL,BOX,Women's Fly (48-51kg),Bulgaria,
1938,Silver Medal,2,2021-08-07 00:00:00.0,CAKIROGLU BN,CAKIROGLU Buse Naz,W,../../../en/results/boxing/athlete-profile-n1378429-cakiroglu-buse-naz.htm,TUR,BOX,Women's Fly (48-51kg),Turkey,Boxing
1939,Gold Medal,1,2021-08-07 00:00:00.0,SURMENELI B,SURMENELI Busenaz,W,../../../en/results/boxing/athlete-profile-n1378436-surmeneli-busenaz.htm,TUR,BOX,Women's Welter (64-69kg),Turkey,Boxing
1940,Silver Medal,2,2021-08-07 00:00:00.0,GU H,GU Hong,W,../../../en/results/boxing/athlete-profile-n1306086-gu-hong.htm,CHN,BOX,Women's Welter (64-69kg),People's Republic of China,
1941,Gold Medal,1,2021-08-07 00:00:00.0,QUEIROZ dos SANTOS,QUEIROZ dos SANTOS Isaquias,,../../../en/results/canoe-sprint/athlete-profile-n1329188-queiroz-dos-santos-isaquias.htm,BRA,CSP,Men's Canoe Single 1000m,Brazil,
1942,Silver Medal,2,2021-08-07 00:00:00.0,LIU H,LIU Hao,M,../../../en/results/canoe-sprint/athlete-profile-n1324788-liu-hao.htm,CHN,CSP,Men's Canoe Single 1000m,People's Republic of China,Canoe Sprint
1943,Bronze Medal,3,2021-08-07 00:00:00.0,TARNOVSCHI S,TARNOVSCHI Serghei,,../../../en/results/canoe-sprint/athlete-profile-n1382333-tarnovschi-serghei.htm,MDA,CSP,Men's Canoe Single 1000m,Republic of Moldova,Canoe Sprint
1944,Gold Medal,1,2021-08-07 00:00:00.0,,LEMKE Max,M,../../../en/results/canoe-sprint/athlete-profile-n1333353-lemke-max.htm,GER,CSP,Men's Kayak Four 500m,Germany,
1945,Gold Medal,1,2021-08-07 00:00:00.0,LIEBSCHER T,LIEBSCHER Tom,M,../../../en/results/canoe-sprint/athlete-profile-n1333354-liebscher-tom.htm,GER,CSP,Men's Kayak Four 500m,Germany,Canoe Sprint
1946,Gold Medal,1,2021-08-07 00:00:00.0,RAUHE R,RAUHE Ronald,M,../../../en/results/canoe-sprint/athlete-profile-n1333358-rauhe-ronald.htm,GER,CSP,Men's Kayak Four 500m,Germany,Canoe Sprint
1947,Gold Medal,1,2021-08-07 00:00:00.0,RENDSCHMIDT M,RENDSCHMIDT Max,M,../../../en/results/canoe-sprint/athlete-profile-n1333359-rendschmidt-max.htm,GER,CSP,Men's Kayak Four 500m,Germany,Canoe Sprint
1948,Silver Medal,2,2021-08-07 00:00:00.0,AREVALO C,AREVALO Carlos,M,../../../en/results/canoe-sprint/athlete-profile-n1358213-arevalo-carlos.htm,ESP,CSP,Men's Kayak Four 500m,Spain,Canoe Sprint
1949,Silver Medal,2,2021-08-07 00:00:00.0,,CRAVIOTTO Saul,,../../../en/results/canoe-sprint/athlete-profile-n1358222-craviotto-saul.htm,ESP,CSP,Men's Kayak Four 500m,Spain,Canoe Sprint
1950,Silver Medal,2,2021-08-07 00:00:00.0,GERMADE R,GERMADE Rodrigo,,../../../en/results/canoe-sprint/athlete-profile-n1358236-germade-rodrigo.htm,ESP,CSP,Men's Kayak Four 500m,Spain,
1951,Silver Medal,2,2021-08-07 00:00:00.0,WALZ M,WALZ Marcus,M,../../../en/results/canoe-sprint/athlete-profile-n1358266-walz-marcus.htm,ESP,CSP,Men's Kayak Four 500m,Spain,Canoe Sprint
1952,Bronze Medal,3,2021-08-07 00:00:00.0,BALAZ S,BALAZ Samuel,M,../../../en/results/canoe-sprint/athlete-profile-n1387273-balaz-samuel.htm,SVK,CSP,Men's Kayak Four 500m,Slovakia,
1953,Bronze Medal,3,2021-08-07 00:00:00.0,BOTEK A,BOTEK Adam,,../../../en/results/canoe-sprint/athlete-profile-n1387275-botek-adam.htm,SVK,CSP,Men's Kayak Four 500m,Slovakia,Canoe Sprint
1954,Bronze Medal,3,2021-08-07 00:00:00.0,MYSAK D,MYSAK Denis,,../../../en/results/canoe-sprint/athlete-profile-n1387294-mysak-denis.htm,SVK,CSP,Men's Kayak Four 500m,Slovakia,Canoe Sprint
1955,Bronze Medal,3,2021-08-07 00:00:00.0,VLCEK E,VLCEK Erik,M,../../../en/results/canoe-sprint/athlete-profile-n1387303-vlcek-erik.htm,SVK,CSP,Men's Kayak Four 500m,Slovakia,Canoe Sprint
1956,Gold Medal,1,2021-08-07 00:00:00.0,SUN M,SUN Mengya,,../../../en/results/canoe-sprint/athlete-profile-n1324886-sun-mengya.htm,CHN,CSP,Women's Canoe Double 500m,People's Republic of China,Canoe Sprint
1957,Gold Medal,1,2021-08-07 00:00:00.0,XU S,XU Shixiao,W,../../../en/results/canoe-sprint/athlete-profile-n1324992-xu-shixiao.htm,CHN,CSP,Women's Canoe Double 500m,People's Republic of China,Canoe Sprint
1958,Silver Medal,2,2021-08-07 00:00:00.0,,LUZAN Liudmyla,W,../../../en/results/canoe-sprint/athlete-profile-n1334797-luzan-liudmyla.htm,UKR,CSP,Women's Canoe Double 500m,Ukraine,Canoe Sprint
1959,Silver Medal,2,2021-08-07 00:00:00.0,,CHETVERIKOVA Anastasiia,,../../../en/results/canoe-sprint/athlete-profile-n1334790-chetverikova-anastasiia.htm,UKR,CSP,Women's Canoe Double 500m,Ukraine,Canoe Sprint
1960,Bronze Medal,3,2021-08-07 00:00:00.0,VINCENT-LAPOINTE L,VINCENT-LAPOINTE Laurence,,../../../en/results/canoe-sprint/athlete-profile-n1433179-vincent-lapointe-laurence.htm,CAN,CSP,Women's Canoe Double 500m,Canada,Canoe Sprint
1961,Bronze Medal,3,2021-08-07 00:00:00.0,VINCENT K,VINCENT Katie,W,../../../en/results/canoe-sprint/athlete-profile-n1433178-vincent-katie.htm,CAN,CSP,Women's Canoe Double 500m,Canada,Canoe Sprint
1962,Gold Medal,1,2021-08-07 00:00:00.0,,BODONYI Dora,,../../../en/results/canoe-sprint/athlete-profile-n1301880-bodonyi-dora.htm,HUN,CSP,Women's Kayak Four 500m,Hungary,Canoe Sprint
1963,Gold Medal,1,2021-08-07 00:00:00.0,KOZAK D,KOZAK Danuta,W,../../../en/results/canoe-sprint/athlete-profile-n1302981-kozak-danuta.htm,HUN,CSP,Women's Kayak Four 500m,Hungary,Canoe Sprint
1964,Gold Medal,1,2021-08-07 00:00:00.0,CSIPES T,CSIPES Tamara,W,../../../en/results/canoe-sprint/athlete-profile-n1302771-csipes-tamara.htm,HUN,CSP,Women's Kayak Four 500m,Hungary,Canoe Sprint
1965,Gold Medal,1,2021-08-07 00:00:00.0,KARASZ A,KARASZ Anna,,../../../en/results/canoe-sprint/athlete-profile-n1302870-karasz-anna.htm,HUN,CSP,Women's Kayak Four 500m,Hungary,Canoe Sprint
1966,Silver Medal,2,2021-08-07 00:00:00.0,LITVINCHUK M,LITVINCHUK Maryna,,../../../en/results/canoe-sprint/athlete-profile-n1290419-litvinchuk-maryna.htm,BLR,CSP,Women's Kayak Four 500m,Belarus,Canoe Sprint
1967,Silver Medal,2,2021-08-07 00:00:00.0,MAKHNEVA M,MAKHNEVA Marharyta,W,../../../en/results/canoe-sprint/athlete-profile-n1290421-makhneva-marharyta.htm,BLR,CSP,Women's Kayak Four 500m,Belarus,
1968,Silver Medal,2,2021-08-07 00:00:00.0,PAPOK N,PAPOK Nadzeya,W,../../../en/results/canoe-sprint/athlete-profile-n1290422-papok-nadzeya.htm,BLR,CSP,Women's Kayak Four 500m,Belarus,
1969,Silver Medal,2,2021-08-07 00:00:00.0,KHUDZENKA V,KHUDZENKA Volha,W,../../../en/results/canoe-sprint/athlete-profile-n1290425-khudzenka-volha.htm,BLR,CSP,Women's Kayak Four 500m,Belarus,Canoe Sprint
1970,Bronze Medal,3,2021-08-07 00:00:00.0,NAJA K,NAJA Karolina,,../../../en/results/canoe-sprint/athlete-profile-n1317117-naja-karolina.htm,POL,CSP,Women's Kayak Four 500m,Poland,Canoe Sprint
1971,Bronze Medal,3,2021-08-07 00:00:00.0,PULAWSKA A,PULAWSKA Anna,W,../../../en/results/canoe-sprint/athlete-profile-n1317114-pulawska-anna.htm,POL,CSP,Women's Kayak Four 500m,Poland,Canoe Sprint
1972,Bronze Medal,3,2021-08-07 00:00:00.0,ISKRZYCKA J,ISKRZYCKA Justyna,W,../../../en/results/canoe-sprint/athlete-profile-n1317116-iskrzycka-justyna.htm,POL,CSP,Women's Kayak Four 500m,Poland,Canoe Sprint
1973,Bronze Medal,3,2021-08-07 00:00:00.0,WISNIEWSKA H,WISNIEWSKA Helena,W,../../../en/results/canoe-sprint/athlete-profile-n1317098-wisniewska-helena.htm,POL,CSP,Women's Kayak Four 500m,Poland,Canoe Sprint
1974,Gold Medal,1,2021-08-07 00:00:00.0,HANSEN LN,HANSEN Lasse Norman,M,../../../en/results/cycling-track/athlete-profile-n1366655-hansen-lasse-norman.htm,DEN,CTR,Men's Madison,Denmark,Cycling Track
1975,Gold Medal,1,2021-08-07 00:00:00.0,MORKOV M,MORKOV Michael,M,../../../en/results/cycling-track/athlete-profile-n1366657-morkov-michael.htm,DEN,CTR,Men's Madison,Denmark,
1976,Silver Medal,2,2021-08-07 00:00:00.0,WALLS M,WALLS Matthew,M,../../../en/results/cycling-track/athlete-profile-n1474980-walls-matthew.htm,GBR,CTR,Men's Madison,Great Britain,
1977,Silver Medal,2,2021-08-07 00:00:00.0,HAYTER E,HAYTER Ethan,M,../../../en/results/cycling-track/athlete-profile-n1474952-hayter-ethan.htm,GBR,CTR,Men's Madison,Great Britain,
1978,Bronze Medal,3,2021-08-07 00:00:00.0,,GRONDIN Donavan,,../../../en/results/cycling-track/athlete-profile-n1398927-grondin-donavan.htm,FRA,CTR,Men's Madison,France,Cycling Track
1979,Bronze Medal,3,2021-08-07 00:00:00.0,THOMAS B,THOMAS Benjamin,,../../../en/results/cycling-track/athlete-profile-n1398928-thomas-benjamin.htm,FRA,CTR,Men's Madison,France,
1980,Gold Medal,1,2021-08-07 00:00:00.0,CAO Y,CAO Yuan,,../../../en/results/diving/athlete-profile-n1329531-cao-yuan.htm,CHN,DIV,Men's 10m Platform,People's Republic of China,
1981,Silver Medal,2,2021-08-07 00:00:00.0,YANG J,YANG Jian,M,../../../en/results/diving/athlete-profile-n1329912-yang-jian.htm,CHN,DIV,Men's 10m Platform,People's Republic of China,
1982,Bronze Medal,3,2021-08-07 00:00:00.0,DALEY T,DALEY Thomas,,../../../en/results/diving/athlete-profile-n1444126-daley-thomas.htm,GBR,DIV,Men's 10m Platform,Great Britain,
1983,Gold Medal,1,2021-08-07 00:00:00.0,von ECKERMANN H,von ECKERMANN Henrik,O,../../../en/results/equestrian/athlete-profile-n1436074-von-eckermann-henrik.htm,SWE,EQU,Jumping Team,Sweden,Equestrian
1984,Gold Medal,1,2021-08-07 00:00:00.0,BARYARD-JOHNSSON M,BARYARD-JOHNSSON Malin,,../../../en/results/equestrian/athlete-profile-n1436075-baryard-johnsson-malin.htm,SWE,EQU,Jumping Team,Sweden,Equestrian
1985,Gold Medal,1,2021-08-07 00:00:00.0,,FREDRICSON Peder,,../../../en/results/equestrian/athlete-profile-n1436076-fredricson-peder.htm,SWE,EQU,Jumping Team,Sweden,
1986,Silver Medal,2,2021-08-07 00:00:00.0,SPRINGSTEEN J,SPRINGSTEEN Jessica,,../../../en/results/equestrian/athlete-profile-n1451492-springsteen-jessica.htm,USA,EQU,Jumping Team,United States of America,Equestrian
1987,Silver Medal,2,2021-08-07 00:00:00.0,KRAUT L,KRAUT Laura,O,../../../en/results/equestrian/athlete-profile-n1451498-kraut-laura.htm,USA,EQU,Jumping Team,United States of America,
1988,Silver Medal,2,2021-08-07 00:00:00.0,,WARD McLain,O,../../../en/results/equestrian/athlete-profile-n1451510-ward-mclain.htm,USA,EQU,Jumping Team,United States of America,Equestrian
1989,Bronze Medal,3,2021-08-07 00:00:00.0,DEVOS P,DEVOS Pieter,O,../../../en/results/equestrian/athlete-profile-n1393569-devos-pieter.htm,BEL,EQU,Jumping Team,Belgium,Equestrian
1990,Bronze Medal,3,2021-08-07 00:00:00.0,GUERY J,GUERY Jerome,O,../../../en/results/equestrian/athlete-profile-n1401970-guery-jerome.htm,BEL,EQU,Jumping Team,Belgium,Equestrian
1991,Bronze Medal,3,2021-08-07 00:00:00.0,,WATHELET Gregory,O,../../../en/results/equestrian/athlete-profile-n1401972-wathelet-gregory.htm,BEL,EQU,Jumping Team,Belgium,Equestrian
1992,Gold Medal,1,2021-08-07 00:00:00.0,CLAUDINHO,CLAUDINHO,M,../../../en/results/football/athlete-profile-n1409173-claudinho.htm,BRA,FBL,Men,Brazil,
1993,Gold Medal,1,2021-08-07 00:00:00.0,SANTOS,SANTOS,M,../../../en/results/football/athlete-profile-n1351460-santos.htm,BRA,FBL,Men,Brazil,Football
1994,Gold Medal,1,2021-08-07 00:00:00.0,ANTONY,ANTONY,M,../../../en/results/football/athlete-profile-n1351463-antony.htm,BRA,FBL,Men,Brazil,Football
1995,Gold Medal,1,2021-08-07 00:00:00.0,ABNER,ABNER,M,../../../en/results/football/athlete-profile-n1351464-abner.htm,BRA,FBL,Men,Brazil,Football
1996,Gold Medal,1,2021-08-07 00:00:00.0,BRENNO,BRENNO,,../../../en/results/football/athlete-profile-n1351475-brenno.htm,BRA,FBL,Men,Brazil,Football
1997,Gold Medal,1,2021-08-07 00:00:00.0,FUCHS B,FUCHS Bruno,,../../../en/results/football/athlete-profile-n1351476-fuchs-bruno.htm,BRA,FBL,Men,Brazil,Football
1998,Gold Medal,1,2021-08-07 00:00:00.0,GUIMARAES B,GUIMARAES Bruno,,../../../en/results/football/athlete-profile-n1351478-guimaraes-bruno.htm,BRA,FBL,Men,Brazil,Football
1999,Gold Medal,1,2021-08-07 00:00:00.0,DOUGLAS LUIZ,DOUGLAS LUIZ,,../../../en/results/football/athlete-profile-n1351499-douglas-luiz.htm,BRA,FBL,Men,Brazil,Football
